Timestamp;Date;Type;Detail
23:58:52.6988868;20/12/2022;Session Status;Start;Environment: Circular;Display Mode: Radial;Dimension: 5,3,3;Browsing Mode: Local;;
23:58:58.8887927;20/12/2022;Selection;Selected;Url: file://C:/Users/Moriyarnn/Desktop/test_images/g_imagen_007.jpg;
23:59:00.3273069;20/12/2022;Element Movement;Pull;;
23:59:09.0055427;20/12/2022;Element Movement;Push;;
23:59:14.6037496;20/12/2022;Element Movement;Pull;;
23:59:19.1477089;20/12/2022;Element Movement;Push;;
