Timestamp;Date;Type;Detail
17:29:03.8372635;01/12/2022;Session Status;Start;Environment: Circular;Display Mode: Plane;Dimension: 3,3,3;Browsing Mode: Online;Root URL: https://www.google.com;;
17:29:14.7727674;01/12/2022;Session Status;Stop;Environment: Circular;Display Mode: Plane;Dimension: 3,3,3;Browsing Mode: Online;Root URL: https://www.google.com;;
17:31:05.5916231;01/12/2022;Session Status;Start;Environment: Circular;Display Mode: Radial;Dimension: 7,3,3;Browsing Mode: Local;;
